source	name	smiles	can_smi	can_taut	can_taut_strip_stereo	InChI	InChIKey	Molecular_Weight	Molecular_Formula	CanonicalTautomer	NumberOfTautomers
from NCGCCanonicalForm.java	ACETYLSALICYLATE	CC(Oc1c(C(=O)[O-])cccc1)=O	CC(=O)Oc1ccccc1C(=O)O	CC(=O)Oc1ccccc1C(=O)O	CC(=O)Oc1ccccc1C(=O)O	InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	180.15742	C9H8O4	Yes	2
from NCGCCanonicalForm.java	DIETHYLAMMONIUM	CC[NH2+]CC	CC[NH2+]CC	CC[NH2+]CC	CC[NH2+]CC	InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3/p+1	HPNMFZURTQLUMO-UHFFFAOYSA-O	74.14478	C4H12N		
from NCGCCanonicalForm.java	ETHYLAMMONIUM	CC[NH3+]	CC[NH3+]	CC[NH3+]	CC[NH3+]	InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3/p+1	QUSNBJAOOMFDIB-UHFFFAOYSA-O	46.09162	C2H8N		
from NCGCCanonicalForm.java	p-TOLUENESULFONATE	Cc1ccc(S(=O)(=O)[O-])cc1	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	InChI=1S/C7H8O3S/c1-6-2-4-7(5-3-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)	JOXIMZWYDAKGHI-UHFFFAOYSA-N	172.20162	C7H8O3S		
from NCGCCanonicalForm.java	p-TOLUENESULPHONATE	Cc1ccc(S(=O)(=O)[O-])cc1	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	InChI=1S/C7H8O3S/c1-6-2-4-7(5-3-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)	JOXIMZWYDAKGHI-UHFFFAOYSA-N	172.20162	C7H8O3S		
from NCGCCanonicalForm.java	TOSILATE	Cc1ccc(S(=O)(=O)O)cc1	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	InChI=1S/C7H8O3S/c1-6-2-4-7(5-3-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)	JOXIMZWYDAKGHI-UHFFFAOYSA-N	172.20162	C7H8O3S		
from NCGCCanonicalForm.java	TOSYLATE	Cc1ccc(S(=O)(=O)O)cc1	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	Cc1ccc(cc1)S(=O)(=O)O	InChI=1S/C7H8O3S/c1-6-2-4-7(5-3-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)	JOXIMZWYDAKGHI-UHFFFAOYSA-N	172.20162	C7H8O3S		
from NCGCCanonicalForm.java	ISOPROPIONATE	CCC(=O)[O-]	CCC(=O)O	CCC(=O)O	CCC(=O)O	InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)	XBDQKXXYIPTUBI-UHFFFAOYSA-N	74.07854	C3H6O2		
from NCGCCanonicalForm.java	PROPIONATE	CCC(=O)[O-]	CCC(=O)O	CCC(=O)O	CCC(=O)O	InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)	XBDQKXXYIPTUBI-UHFFFAOYSA-N	74.07854	C3H6O2		
from NCGCCanonicalForm.java	ETHYLSUCCINATE	CCC(C(=O)[O-])CC(=O)[O-]	CCC(CC(=O)O)C(=O)O	CCC(CC(=O)O)C(=O)O	CCC(CC(=O)O)C(=O)O	InChI=1S/C6H10O4/c1-2-4(6(9)10)3-5(7)8/h4H,2-3H2,1H3,(H,7,8)(H,9,10)	RVHOBHMAPRVOLO-UHFFFAOYSA-N	146.1412	C6H10O4		
from NCGCCanonicalForm.java	butanoate	CCCC(=O)[O-]	CCCC(=O)O	CCCC(=O)O	CCCC(=O)O	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	FERIUCNNQQJTOY-UHFFFAOYSA-N	88.10512	C4H8O2		
from NCGCCanonicalForm.java	BUTYLATE	CCCC(=O)[O-]	CCCC(=O)O	CCCC(=O)O	CCCC(=O)O	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	FERIUCNNQQJTOY-UHFFFAOYSA-N	88.10512	C4H8O2		
from NCGCCanonicalForm.java	BUTYRATE	CCCC(=O)[O-]	CCCC(=O)O	CCCC(=O)O	CCCC(=O)O	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	FERIUCNNQQJTOY-UHFFFAOYSA-N	88.10512	C4H8O2		
from NCGCCanonicalForm.java	VALERATE	CCCCC(=O)[O-]	CCCCC(=O)O	CCCCC(=O)O	CCCCC(=O)O	InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)	NQPDZGIKBAWPEJ-UHFFFAOYSA-N	102.1317	C5H10O2		
from NCGCCanonicalForm.java	ETHYLHEXANOATE	CCCCC(C(=O)[O-])CC	CCCCC(CC)C(=O)O	CCCCC(CC)C(=O)O	CCCCC(CC)C(=O)O	InChI=1S/C8H16O2/c1-3-5-6-7(4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)	OBETXYAYXDNJHR-UHFFFAOYSA-N	144.21143	C8H16O2		
from NCGCCanonicalForm.java	CAPROATE	CCCCCC(=O)[O-]	CCCCCC(=O)O	CCCCCC(=O)O	CCCCCC(=O)O	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	FUZZWVXGSFPDMH-UHFFFAOYSA-N	116.15827	C6H12O2		
from NCGCCanonicalForm.java	HEXANOATE	CCCCCC(=O)[O-]	CCCCCC(=O)O	CCCCCC(=O)O	CCCCCC(=O)O	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	FUZZWVXGSFPDMH-UHFFFAOYSA-N	116.15827	C6H12O2		
from NCGCCanonicalForm.java	ENANTHATE	CCCCCCC(=O)[O-]	CCCCCCC(=O)O	CCCCCCC(=O)O	CCCCCCC(=O)O	InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)	MNWFXJYAOYHMED-UHFFFAOYSA-N	130.18485	C7H14O2		
from NCGCCanonicalForm.java	HEPTANOATE	CCCCCCC(=O)[O-]	CCCCCCC(=O)O	CCCCCCC(=O)O	CCCCCCC(=O)O	InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)	MNWFXJYAOYHMED-UHFFFAOYSA-N	130.18485	C7H14O2		
from NCGCCanonicalForm.java	OCTANOATE	CCCCCCCC(=O)[O-]	CCCCCCCC(=O)O	CCCCCCCC(=O)O	CCCCCCCC(=O)O	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	WWZKQHOCKIZLMA-UHFFFAOYSA-N	144.21143	C8H16O2		
from NCGCCanonicalForm.java	UNDECYLENATE	CCCCCCCC\C=C/C(=O)[O-]	CCCCCCCC\C=C/C(=O)O	CCCCCCCC\C=C/C(=O)O	CCCCCCCCC=CC(=O)O	InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h9-10H,2-8H2,1H3,(H,12,13)/b10-9-	IGBBVTAVILYDIO-KTKRTIGZSA-N	184.2753	C11H20O2		
from NCGCCanonicalForm.java	OLEATE	CCCCCCCC\C=C/CCCCCCCC(=O)[O-]	CCCCCCCC\C=C/CCCCCCCC(=O)O	CCCCCCCC\C=C/CCCCCCCC(=O)O	CCCCCCCCC=CCCCCCCCC(=O)O	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	282.46136	C18H34O2		
from NCGCCanonicalForm.java	DECANOATE	CCCCCCCCCC(=O)[O-]	CCCCCCCCCC(=O)O	CCCCCCCCCC(=O)O	CCCCCCCCCC(=O)O	InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)	GHVNFZFCNZKVNT-UHFFFAOYSA-N	172.2646	C10H20O2		
from NCGCCanonicalForm.java	UNDECANOATE	CCCCCCCCCCC(=O)[O-]	CCCCCCCCCCC(=O)O	CCCCCCCCCCC(=O)O	CCCCCCCCCCC(=O)O	InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)	ZDPHROOEEOARMN-UHFFFAOYSA-N	186.29118	C11H22O2		
from NCGCCanonicalForm.java	LAURATE	CCCCCCCCCCCC(=O)[O-]	CCCCCCCCCCCC(=O)O	CCCCCCCCCCCC(=O)O	CCCCCCCCCCCC(=O)O	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)	POULHZVOKOAJMA-UHFFFAOYSA-N	200.31776	C12H24O2		
from NCGCCanonicalForm.java	PALMITATE	CCCCCCCCCCCCCCCC(=O)[O-]	CCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCC(=O)O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	IPCSVZSSVZVIGE-UHFFFAOYSA-N	256.42408	C16H32O2		
from NCGCCanonicalForm.java	STEARATE	CCCCCCCCCCCCCCCCCC(=O)[O-]	CCCCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCCCC(=O)O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	QIQXTHQIDYTFRH-UHFFFAOYSA-N	284.47724	C18H36O2		
from NCGCCanonicalForm.java	TETRADECYL HYDROGEN PHOSPHATE	CCCCCCCCCCCCCCOP(=O)(O)O	CCCCCCCCCCCCCCOP(=O)(O)O	CCCCCCCCCCCCCCOP(=O)(O)O	CCCCCCCCCCCCCCOP(=O)(O)O	InChI=1S/C14H31O4P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-19(15,16)17/h2-14H2,1H3,(H2,15,16,17)	KRIXEEBVZRZHOS-UHFFFAOYSA-N	294.3673	C14H31O4P		
from NCGCCanonicalForm.java	LAURILSULFATE	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)	MOTZDAYCYVMXPC-UHFFFAOYSA-N	266.39744	C12H26O4S		
from NCGCCanonicalForm.java	LAURILSULPHATE	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)	MOTZDAYCYVMXPC-UHFFFAOYSA-N	266.39744	C12H26O4S		
from NCGCCanonicalForm.java	LAURYLSULFATE	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)	MOTZDAYCYVMXPC-UHFFFAOYSA-N	266.39744	C12H26O4S		
from NCGCCanonicalForm.java	LAURYLSULPHATE	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)	MOTZDAYCYVMXPC-UHFFFAOYSA-N	266.39744	C12H26O4S		
from NCGCCanonicalForm.java	ETHYLAMINE	CCN	CCN	CCN	CCN	InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3	QUSNBJAOOMFDIB-UHFFFAOYSA-N	45.08368	C2H7N		
from NCGCCanonicalForm.java	DIETHYLAMINE	CCNCC	CCNCC	CCNCC	CCNCC	InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3	HPNMFZURTQLUMO-UHFFFAOYSA-N	73.13684	C4H11N		
from NCGCCanonicalForm.java	ETHANESULFONATE	CCS(=O)(=O)[O-]	CCS(=O)(=O)O	CCS(=O)(=O)O	CCS(=O)(=O)O	InChI=1S/C2H6O3S/c1-2-6(3,4)5/h2H2,1H3,(H,3,4,5)	CCIVGXIOQKPBKL-UHFFFAOYSA-N	110.13223	C2H6O3S		
from NCGCCanonicalForm.java	ETHANESULPHONATE	CCS(=O)(=O)[O-]	CCS(=O)(=O)O	CCS(=O)(=O)O	CCS(=O)(=O)O	InChI=1S/C2H6O3S/c1-2-6(3,4)5/h2H2,1H3,(H,3,4,5)	CCIVGXIOQKPBKL-UHFFFAOYSA-N	110.13223	C2H6O3S		
from NCGCCanonicalForm.java	ESYLATE	CCS(=O)(=O)O	CCS(=O)(=O)O	CCS(=O)(=O)O	CCS(=O)(=O)O	InChI=1S/C2H6O3S/c1-2-6(3,4)5/h2H2,1H3,(H,3,4,5)	CCIVGXIOQKPBKL-UHFFFAOYSA-N	110.13223	C2H6O3S		
from NCGCCanonicalForm.java	N,N-DIMETHYL-beta-ALANINE	CN(CCC(=O)O)C	CN(C)CCC(=O)O	CN(C)CCC(=O)O	CN(C)CCC(=O)O	InChI=1S/C5H11NO2/c1-6(2)4-3-5(7)8/h3-4H2,1-2H3,(H,7,8)	JMOXSQYGVIXBBZ-UHFFFAOYSA-N	117.14634	C5H11NO2		
from NCGCCanonicalForm.java	8-CHLOROTHEOPHYLLINATE	CN1C(=O)c(c2N(C(=O)[O-])C1=O)[nH]c(Cl)n2	CN1C(=O)N(C(=O)O)c2nc(Cl)[nH]c2C1=O	CN1C(=O)N(C(=O)O)c2[nH]c(Cl)nc2C1=O	CN1C(=O)N(C(=O)O)c2[nH]c(Cl)nc2C1=O	InChI=1S/C7H5ClN4O4/c1-11-4(13)2-3(10-5(8)9-2)12(6(11)14)7(15)16/h1H3,(H,9,10)(H,15,16)	IJPKHWLNKMNUQM-UHFFFAOYSA-N	244.59199	C7H5ClN4O4	Yes	3
from NCGCCanonicalForm.java	MEGLUMINE	CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CNCC(O)C(O)C(O)C(O)CO	InChI=1S/C7H17NO5/c1-8-2-4(10)6(12)7(13)5(11)3-9/h4-13H,2-3H2,1H3	MBBZMMPHUWSWHV-UHFFFAOYSA-N	195.21358	C7H17NO5		
from NCGCCanonicalForm.java	N-METHYLGLUCAMINE	CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CNCC(O)C(O)C(O)C(O)CO	InChI=1S/C7H17NO5/c1-8-2-4(10)6(12)7(13)5(11)3-9/h4-13H,2-3H2,1H3	MBBZMMPHUWSWHV-UHFFFAOYSA-N	195.21358	C7H17NO5		
from NCGCCanonicalForm.java	METHYLSULFATE	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	InChI=1S/CH4O4S/c1-5-6(2,3)4/h1H3,(H,2,3,4)	JZMJDSHXVKJFKW-UHFFFAOYSA-N	112.10506	CH4O4S		
from NCGCCanonicalForm.java	METHYLSULPHATE	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	InChI=1S/CH4O4S/c1-5-6(2,3)4/h1H3,(H,2,3,4)	JZMJDSHXVKJFKW-UHFFFAOYSA-N	112.10506	CH4O4S		
from NCGCCanonicalForm.java	METILSULFATE	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	InChI=1S/CH4O4S/c1-5-6(2,3)4/h1H3,(H,2,3,4)	JZMJDSHXVKJFKW-UHFFFAOYSA-N	112.10506	CH4O4S		
from NCGCCanonicalForm.java	METILSULPHATE	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	COS(=O)(=O)O	InChI=1S/CH4O4S/c1-5-6(2,3)4/h1H3,(H,2,3,4)	JZMJDSHXVKJFKW-UHFFFAOYSA-N	112.10506	CH4O4S		
from NCGCCanonicalForm.java	METHANESULFONATE	CS(=O)(=O)[O-]	CS(=O)(=O)O	CS(=O)(=O)O	CS(=O)(=O)O	InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)	AFVFQIVMOAPDHO-UHFFFAOYSA-N	96.10566	CH4O3S		
from NCGCCanonicalForm.java	METHANESULPHONATE	CS(=O)(=O)[O-]	CS(=O)(=O)O	CS(=O)(=O)O	CS(=O)(=O)O	InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)	AFVFQIVMOAPDHO-UHFFFAOYSA-N	96.10566	CH4O3S		
from NCGCCanonicalForm.java	MESYLATE	CS(=O)(=O)O	CS(=O)(=O)O	CS(=O)(=O)O	CS(=O)(=O)O	InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)	AFVFQIVMOAPDHO-UHFFFAOYSA-N	96.10566	CH4O3S		
from NCGCCanonicalForm.java	ARGININE	N[C@H](C(=O)O)CCCNC(=N)N	N[C@@H](CCCNC(=N)N)C(=O)O	N[C@@H](CCCN=C(N)N)C(=O)O	NC(CCCN=C(N)N)C(=O)O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	ODKSFYDXXFIFQN-UHFFFAOYSA-N	174.20095	C6H14N4O2	Yes	3
from NCGCCanonicalForm.java	CARBAMATE	NC(=O)[O-]	NC(=O)O	NC(=O)O	NC(=O)O	InChI=1S/CH3NO2/c2-1(3)4/h2H2,(H,3,4)	KXDHJXZQYSOELW-UHFFFAOYSA-N	61.04002	CH3NO2		
from NCGCCanonicalForm.java	LYSINATE	NCCCC[C@@H](C(=O)[O-])N	NCCCC[C@H](N)C(=O)O	NCCCC[C@H](N)C(=O)O	NCCCCC(N)C(=O)O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)	KDXKERNSBIXSRK-UHFFFAOYSA-N	146.18755	C6H14N2O2		
from NCGCCanonicalForm.java	ETHYLENEDIAMINE	NCCN	NCCN	NCCN	NCCN	InChI=1S/C2H8N2/c3-1-2-4/h1-4H2	PIICEJLVQHRZGT-UHFFFAOYSA-N	60.09832	C2H8N2		
from NCGCCanonicalForm.java	ETHANOLAMINE	NCCO	NCCO	NCCO	NCCO	InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2	HZAXFHJVJLSVMW-UHFFFAOYSA-N	61.08308	C2H7NO		
from NCGCCanonicalForm.java	AMINOSALICYLATE	NOc1c(C(=O)[O-])cccc1	NOc1ccccc1C(=O)O	NOc1ccccc1C(=O)O	NOc1ccccc1C(=O)O	InChI=1S/C7H7NO3/c8-11-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)	NBGAYCYFNGPNPV-UHFFFAOYSA-N	153.13538	C7H7NO3		
from NCGCCanonicalForm.java	GLUCARATE	O[C@H]([C@@H](C(=O)[O-])O)[C@@H]([C@H](C(=O)[O-])O)O	O[C@@H]([C@H](O)[C@H](O)C(=O)O)[C@@H](O)C(=O)O	O[C@@H]([C@H](O)[C@H](O)C(=O)O)[C@@H](O)C(=O)O	OC(C(O)C(O)C(=O)O)C(O)C(=O)O	InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)	DSLZVSRJTYRBFB-UHFFFAOYSA-N	210.13879	C6H10O8		
from NCGCCanonicalForm.java	SACCHARATE	O[C@H]([C@@H](C(=O)[O-])O)[C@@H]([C@H](C(=O)[O-])O)O	O[C@@H]([C@H](O)[C@H](O)C(=O)O)[C@@H](O)C(=O)O	O[C@@H]([C@H](O)[C@H](O)C(=O)O)[C@@H](O)C(=O)O	OC(C(O)C(O)C(=O)O)C(O)C(=O)O	InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)	DSLZVSRJTYRBFB-UHFFFAOYSA-N	210.13879	C6H10O8		
from NCGCCanonicalForm.java	BARBITURATE	O=C1NC(=O)NC(=O)C1	O=C1CC(=O)NC(=O)N1	O=C1CC(=O)NC(=O)N1	O=C1CC(=O)NC(=O)N1	InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H2,(H2,5,6,7,8,9)	HNYOPLTXPVRDBG-UHFFFAOYSA-N	128.08615	C4H4N2O3	Yes	17
from NCGCCanonicalForm.java	BORATE	OB(O)O	OB(O)O	OB(O)O	OB(O)O	InChI=1S/BH3O3/c2-1(3)4/h2-4H	KGBXLFKZBHKPEV-UHFFFAOYSA-N	61.83302	BH3O3		
from NCGCCanonicalForm.java	MALEATE	OC(\C=C/C(=O)O)=O	OC(=O)\C=C/C(=O)O	OC(=O)\C=C/C(=O)O	OC(=O)C=CC(=O)O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-	VZCYOOQTPOCHFL-UPHRSURJSA-N	116.07216	C4H4O4		
from NCGCCanonicalForm.java	FUMARATE	OC(\C=C\C(=O)O)=O	OC(=O)\C=C\C(=O)O	OC(=O)\C=C\C(=O)O	OC(=O)C=CC(=O)O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	VZCYOOQTPOCHFL-OWOJBTEDSA-N	116.07216	C4H4O4		
from NCGCCanonicalForm.java	CITRATE	OC(C(=O)[O-])(CC(=O)[O-])CC(=O)[O-]	OC(=O)CC(O)(CC(=O)O)C(=O)O	OC(=O)CC(O)(CC(=O)O)C(=O)O	OC(=O)CC(O)(CC(=O)O)C(=O)O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	KRKNYBCHXYNGOX-UHFFFAOYSA-N	192.12352	C6H8O7		
from NCGCCanonicalForm.java	TARTRATE	OC(C(=O)[O-])C(C(=O)[O-])O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	FEWJPZIEWOKRBE-UHFFFAOYSA-N	150.08684	C4H6O6		
from NCGCCanonicalForm.java	MALATE	OC(C(=O)[O-])CC(=O)[O-]	OC(CC(=O)O)C(=O)O	OC(CC(=O)O)C(=O)O	OC(CC(=O)O)C(=O)O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	BJEPYKJPYRNKOW-UHFFFAOYSA-N	134.08743	C4H6O5		
from NCGCCanonicalForm.java	OXALATE	OC(C(=O)O)=O	OC(=O)C(=O)O	OC(=O)C(=O)O	OC(=O)C(=O)O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	MUBZPKHOEPUJKR-UHFFFAOYSA-N	90.03488	C2H2O4		
from NCGCCanonicalForm.java	BITARTRATE	OC(C(=O)O)C(C(=O)O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	FEWJPZIEWOKRBE-UHFFFAOYSA-N	150.08684	C4H6O6		
from NCGCCanonicalForm.java	TARTRATE	OC(C(=O)O)C(C(=O)O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	FEWJPZIEWOKRBE-UHFFFAOYSA-N	150.08684	C4H6O6		
from NCGCCanonicalForm.java	MALATE	OC(C(=O)O)CC(=O)O	OC(CC(=O)O)C(=O)O	OC(CC(=O)O)C(=O)O	OC(CC(=O)O)C(=O)O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	BJEPYKJPYRNKOW-UHFFFAOYSA-N	134.08743	C4H6O5		
from NCGCCanonicalForm.java	4,4.-METHYLENEBIS(3-HYDROXY-2-NAPHTHOATE)	OC(c1c(O)c(Cc2c(c3cc(C(=O)O)c2O)cccc3)c(c4c1)cccc4)=O	OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O	OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O	OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O	InChI=1S/C23H16O6/c24-20-16(14-7-3-1-5-12(14)9-18(20)22(26)27)11-17-15-8-4-2-6-13(15)10-19(21(17)25)23(28)29/h1-10,24-25H,11H2,(H,26,27)(H,28,29)	WLJNZVDCPSBLRP-UHFFFAOYSA-N	388.36953	C23H16O6		
from NCGCCanonicalForm.java	MANDELATE	OC(c1ccccc1)C(=O)[O-]	OC(C(=O)O)c1ccccc1	OC(C(=O)O)c1ccccc1	OC(C(=O)O)c1ccccc1	InChI=1S/C8H8O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7,9H,(H,10,11)	IWYDHOAUDWTVEP-UHFFFAOYSA-N	152.14732	C8H8O3		
from NCGCCanonicalForm.java	MALONATE	OC(CC(=O)O)=O	OC(=O)CC(=O)O	OC(=O)CC(=O)O	OC(=O)CC(=O)O	InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)	OFOBLEOULBTSOW-UHFFFAOYSA-N	104.06146	C3H4O4		
from NCGCCanonicalForm.java	DIHYDROGEN CITRATE	OC(CC(C(=O)O)(CC(=O)O)O)=O	OC(=O)CC(O)(CC(=O)O)C(=O)O	OC(=O)CC(O)(CC(=O)O)C(=O)O	OC(=O)CC(O)(CC(=O)O)C(=O)O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	KRKNYBCHXYNGOX-UHFFFAOYSA-N	192.12352	C6H8O7		
