revised 3 February 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sort code,NSC,Generic Name,Brand Name(s),Target/MOA,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (raw units),Tmax,T1/2,AUC,Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,Indication,Notes,,,,,,,,,,unit list,route list
54,89201,* estramustine,(Emcyt),Alkylating/DNA damage; Tubulin  inhibitor ,425,as above,,,,,10.390,1.04E-05,0.00442,10.4 umol/L,,99 h,88.4 umol•hr/L,,,,,-,"J Clin Oncol 2002, 20(4): 1115",,metabolite of estramustine phosphate,,,,,,,,,,,
55,,* estramustrone,(Emcyt),Alkylating/DNA damage; Tubulin  inhibitor ,424,as above,,,,,15.598,1.56E-05,0.00662,15.6 umol/L,,129 h,498 umol•hr/L,,,,,-,"J Clin Oncol 2002, 20(4): 1115",,metabolite of estramustine phosphate,,,,,,,,,,,
56,141540,Etoposide  ,"Toposar, VePesid ",Topo II /DNA binding,589,100,mg/m2,IV,,,33.404,3.34E-05,0.01966,19.7 mg/L,,4-11 h,,33-48 ml/min,18-29 L,97%,,1983,"Anti-Cancer Drugs 1999, 10(4): 361",Small Cell Lung Cancer;  Refractory Testicular Tumors,Patients received etoposide in combination with cisplatin and Ro 40-8757,,,,,,,,,,,
57,733504,Everolimus  ,Afinitor ,FKBP-12; kinase inhibitor (Ser/Thr): mTOR,958,10,mg,PO,,qd,0.064,6.37E-08,0.000061,61 ng/ml,1 h,,514 ng•hr/ml,,,74%,,2009,"Eur J Cancer 2008, 44(1): 84","Breast Cancer: Advanced Hormone Receptor-Positive, HER2-Negative Breast Cancer;  Advanced Neuroendocrine Tumors of Pancreatic Origin (PNET);  Advanced Renal Cell Carcinoma (RCC);  Renal Angiomyolipoma with Tuberous Sclerosis Complex (TSC);  Subependymal Giant Cell Astrocytoma (SEGA) with Tuberous Sclerosis Complex (TSC);  ",,,,,,,,,,,,
58,713563,Exemestane  ,Aromasin ,Aromatase Inhibitor,296,25,mg,PO,, q.d.,0.027,2.67E-08,0.0000079,7.9 ng/ml,1.2-2.9 h,24 h,52 ng•hr/ml,,,90%,,1999,"Breast Cancer Res Treat 2008, 111(2): 377-388 and Drug Product Label",Breast Cancer:  adjuvant treatment of postmenopausal women with estrogen-receptor positive early breast cancer who have received two to three years of tamoxifen;   Advanced Breast Cancer,Data are following 2 weeks of repeated daily dosing,,,,,,,,,,,
59,757443,Finasteride,Proscar,5-alpha reductase inhibitor,373,5,mg,PO,,qd,0.124,1.24E-07,0.0000462,46.2 ng/ml,1.8 h,6.0 h,389 ng•hr/ml,165 mL/min,76 L,90%,,1992,Drug Product Label,Prostate: benign prostatic hyperplasia (not approved for cancer indications),not approved for cancer indications: Approved for BPH,,,,,,,,,,,
60,27640,Floxuridine,FUDR,Nucleoside/Antimetab: Pyrimidine antagonist,246,30,mg/kg,IV,8 h,,1.052,1.05E-06,0.000259,259 ug/L ; 5-FU was 115 ng/ml,,13 min,81.9 mg•min/L,22.4 L/min,,,,1970,J Clin Pharmacol. 2004 Nov;44(11):1260-72,"gastrointestinal adenocarcinoma metastatic to the liver,",5-FU prodrug.  Cmax varies widely based on dose and infusion rate.,,,,,,,,,,,
61,312887,Fludarabine Phosphate  ,Fludara ,Nucleoside/Antimetab: Adenosine deaminase inhibitor,365,25,mg/m2,IV,30 min,,LLOQ,,,n.d.,,,,,,19-29%,,1991,"Biopharm Drug Dispos 2010, 31(1): 72",Leukemia: B-cell chronic lymphocytic leukemia (CLL),prodrug of 2-F-araA;  Data are for the metabolite (2-fluoro-ara-A); parent is not detectable ,,,,,,,,,,,
62,118218,* 2-F-araA,(Fludara),Nucleoside/Antimetab: Adenosine deaminase inhibitor,269,as above,,,,,3.001,3.00E-06,0.000808,808 ng/ml,,11.3 h,3285 ng•hr/ml,,,,,-,"Biopharm Drug Dispos 2010, 31(1): 72",,"active metabolite of fludarabine phosphate, 2-F-araA",,,,,,,,,,,
63,19893,Fluorouracil  (5-FU),"Adrucil, Efudex,  Carac, Fluoroplex",Nucleoside/Antimetab: Pyrimidine antagonist,130,400,mg/m2,IV,push,,425.902,4.26E-04,0.0554,55.4 ug/ml,,,11.59 ug•hr/ml,30.64 L/h/m2,,10%,,1962,"Pharmacol Res 2004, 50(2): 173","carcinoma of the colon, rectum, breast, stomach and pancreas.",,,,,,,,,,,,
64,147834,Flutamide,Eulexin,Androgen Receptor Antagonist,276,250,mg,PO,,,0.409,4.09E-07,0.000113, 113 ng/ml,1.3 h,7.8 h,,,,94-96%,,1989,Drug Product Label,"prostate cancer, metastatic carcinoma","PK parameters given are after steady state is reached.  Cmax after single dose is 25.2 ng/ml.  Flutamide is rapidly metabolized to the active metabolite, Hydroxyflutamide, which reaches Cmax of 1629 ng/ml at steady state.",,,,,,,,,,,
65,719276,Fulvestrant  ,Faslodex ,Estrogen Receptor Antagonist,607,500,mg,IM,,,0.041,4.14E-08,0.0000251,25.1 ng/ml,,40 d,11400 ng•hr/ml,690 ml/min,3-5 L/kg,99%,,2002,Drug Product Label; see also Br J Cancer. 1996 Jul;74(2):300-8.,Breast Cancer:  hormone receptor positive metastatic breast cancer,,,,,,,,,,,,
66,715055,Gefitinib  ,Iressa ,kinase inhibitor (Tyrosine): EGFR,447,250,mg,PO,,qd,0.356,3.56E-07,0.000159,159 ng/ml,3 h,50.5 h,5115 ng•hr/ml,514 ml/min,1400 L,90%,,2003,Clin Pharmacokinet 2005; 44 (11): 1165-1177,NSCLC: locally advanced or metastatic non-small cell lung cancer after failure of both platinum-based and docetaxel chemotherapies,June 2005: FDA withdrew approval for use in new patients due to lack of evidence that it extended life.,,,,,,,,,,,
67,613327,Gemcitabine HCl  ,Gemzar ,Nucleoside/Antimetab: Pyrimidine antagonist;  DNA synthesis inhibitor,263,1250,mg/m2,IV, 30 min,,89.286,8.93E-05,0.0235,23.5 ug/ml,,0.228 h,12.5 ug•hr/ml,3530 ml/min,25.9 L,negligible,,1996,"Cancer Chemother Pharmacol 2005, 55(6): 522",Ovarian cancer: Breast Cancer;  Non-Small Cell Lung Cancer; Pancreatic Cancer,,,,,,,,,,,,
68,606864,Goserelin acetate implant,Zoladex,GnRH agonist,1269,10.8,mg,SC,,,0.0070,6.97E-09,0.00000885,8.85 ng/ml,1.8 h,,,121 ml/min,44.1 L,27%,,1996,Drug Product Label,prostate cancer.,,,,,,,,,,,,
69,,Histrelin acetate implant,Supprelin,GnRH agonist,1324,0.0567,mg/day,SC,,continuous release over 12 months,0.00083,8.31E-10,0.0000011,1.1 ng/ml,12 h,,13.8 ng.wk/ml,,,70%,0.265 ng/ml,2007,J Clin Pharmacol. 2005 Nov;45(11):1245-9.,prostate cancer.,,,,,,,,,,,,
70,32065,Hydroxyurea,"Hydrea, Droxia",Nucleoside/Antimetab: Ribonucleoside-Diphosphate Reductase Inhibitor,76,2000,mg,PO,,qd,794.750,7.94E-04,,794.75 umol/L,1.22 h,3.32 h,3934 umol•hr/L,124.83 ml/min,19.65 L/m2,,,1968,"Blood 1998, 91(5): 1533","Melanoma, resistant Chronic Myelocytic Leukemia, and recurrent, metastatic, or inoperable Carcinoma of the Ovary,  Head and Neck primary squamous cell (epidermoid) carcinomas","see also:  J Clin Oncol 2005, 23(36): 9359",,,,,,,,,,,
71,722623,Ibandronate sodium,Boniva,osteoclast inhibitor,319,6,mg,IV,,,1.024,1.02E-06,0.000327,327 ng/ml,37.5 min,12 h,56.5 ug•min/ml,141 ml/min,> 90 L,86%,,2003,"J Clin Pharmacol 2007, 47(8): 942",not approved for cancer indications;  Postmenopausal Osteoporosis,not approved for cancer indications;  approved for the treatment of osteoporosis in postmenopausal women,,,,,,,,,,,
72,761910,Ibrutinib,Imbruvica,kinase inhibitor (Tyrosine): Btk (irreversible),441,560,mg,PO,,q.d.,0.277,2.77E-07,0.000122,122 ng/ml,2 h,9.2 h,1263 ng•hr/ml,1000 L/h,10000 L,98%,,2013,FDA NDA 205552: Clinical Pharmacology and Biopharmaceutics Review,Lymphoma: Mantle Cell Lymphoma;  Chronic Lymphocytic Leukemia;  Chronic Lymphocytic Leukemia with 17p deletion; Waldenstrom’s macroglobulinemia (WM),approved 11.13.13.  PK data from multi-dose study #1104-CA,,,,,,,,,,,
73,256439,Idarubicin,Idamycin,Topo II /DNA binding,498,15,mg/m2,IV,5 min,,0.123,1.23E-07,0.0000612,61.2 ng/ml,,21.8 h,173 ng•hr/ml,,,97%,,1990,Cancer Chemother Pharmacol. 2004 Jan;53(1):61-7,Leukemia: acute myeloid leukemia (AML) in adults. This includes French-American-British (FAB) classifications M1 through M7,"Idarubicinol (active metabolite) Cmax= 10.4 ng/ml (20.8 nM), T1/2= 47 hr, AUC= 747 ng.hr/ml",,,,,,,,,,,
74,759224,Idelalisib ,Zydelig ,kinase inhibitor: PI3K delta,415,150,mg,PO,,BID,5.180,5.18E-06,0.002152,2152 ng/ml,1.75 h,5.75 h,9599 ng•hr/ml,14.9 L/h,23 L,84%,,2014,FDA NDA 206545: Clinical Pharmacology and Biopharmaceutics Review,Leukemia: Relapsed Chronic Lymphocytic Leukemia;   Relapsed Follicular B-cell non-Hodgkin Lymphoma;   Relapsed Small Lymphocytic Lymphoma,Approved 7/23/14.   Values for Cl and Vd from Drug Product Label,,,,,,,,,,,
75,109724,Ifosfamide  ,"Ifex,  Cyfos,  Ifosfamidum ",Alkylating/DNA damage,261,3000,mg/m2,IV, 3 h,,431.000,4.31E-04,,431 uM,,4.1 h,9379 umol•h/L,,,negligible,,1988,"Cancer Chemother Pharmacol 2007, 60(3): 375",testicular cancer (germ cell),"with 24 h infusion, Cmax is 163 uM.",,,,,,,,,,,
76,743414,Imatinib Mesylate,Gleevec,"kinase inhibitor (Tyrosine): BCR-Abl, Kit, PDGFR",494,600,mg,PO,,,7.496,7.50E-06,0.0037,3.7 ug/ml,,17 h,48.8 ug•hr/ml,8-14 L/hr,,95%,,2001,"Clin Cancer Res 2003, 9(16): 5880",Leukemia: Chronic Myeloid Leukemia: Philadelphia Positive (Ph+ CML);  Acute Lymphoblastic Leukemia: Ph+ ALL;  Myelodysplastic/Myeloproliferative Diseases (MDS/MPD): associated with PDGFR gene re-arrangements;  Aggressive Systemic Mastocytosis (ASM);  Hypereosinophilic Syndrome (HES) and/or Chronic Eosinophilic Leukemia (CEL);   Dermatofibrosarcoma Protuberans (DFSP);   Kit+ Gastrointestinal Stromal Tumors (GIST);  Adjuvant Treatment of GIST,,,,,,,,,,,,
77,369100,Imiquimod  ,Aldara ,TLR7 Receptor Agonist,240,75,mg,topical,,3X/wk for 16 wk,0.0056,5.62E-09,0.00000135,1.35 ng/ml,,,29.1 ng•hr/L,,,90-95%,,1997,"Arch Dermatol Res 2004, 296(1): 6",Actinic Keratosis;   Superficial Basal Cell Carcinoma,"Cmax is mean at end of 16 week treatment. As topical agent, local tissue concentrations may be much greater than systemic exposure.",,,,,,,,,,,
78,616348,Irinotecan HCl  ,Camptosar ,Topo I/DNA binding,587,340,mg/m2,IV,90 min,,5.782,5.78E-06,0.003392,3392 ng/ml,,11.7 h,20604 ng•hr/ml,13.9 L/hr/m2,234 L/m2,30-68%,,1996,Drug Product Label,colon: metastatic carcinoma of the colon or rectum.,prodrug of SN-38,,,,,,,,,,,
79,673596,* SN-38,(Camptosar),Topo I/DNA binding,392,as above,,,,(Irinotecan),0.143,1.43E-07,0.000056,56 ng/ml,,21.0 h,474 ng•hr/ml,,,95%,,-,Drug Product Label; see also J Clin Oncol 14:1128-1135 (1996),colon: metastatic carcinoma of the colon or rectum.,"SN-38 is active metabolite of irinotecan, delivery of SN-38 as liposomal formulation can result in exposure as high as 2100 ng/ml at 40 mg/m2 SN-38",,,,,,,,,,,
80,747973,Ixabepilone  ,Ixempra ,Tubulin: inhibition,507,40,mg/m2,IV,3 h,,0.497,4.97E-07,0.000252,252 ng/ml,,35 h,2143 ng•hr/ml,352 ml/min/m2,1213 L/m2,67-77%,,2007,"Drug Product Label; see also Clin Cancer Res 2004, 10(4): 1289","Breast Cancer: metastatic or locally advanced breast cancer in patients whose tumors are resistant or refractory to anthracyclines, taxanes, and capecitabine","data are for day 1, cycle 1; from label, 3 hr infusion yielded Cmax= 252 ng/ml",,,,,,,,,,,
81,,Lanreotide,Somatuline Depot,Somatostatin Agonist ,1096,120,mg,SC,,q. 4 weeks,0.007,7.02E-09,0.0000077,7.7 ng/ml,,,,,,,,2007,Drug Product Label,"gastroenteropancreatic neuroendocrine tumors (GEP-NETs): unresectable, well or moderately differentiated, locally advanced or metastatic  ",oncology approval 12/16/2014.  Cmax at steady state.,,,,,,,,,,,
82,745750,Lapatinib,Tykerb ,"kinase inhibitor (Tyrosine): ERBB2,  EGFR",581,1250,mg,PO,,q.d. X 21 d,4.182,4.18E-06,0.00243,2.43 ug/ml,4 h,14.2 h,36.2 ug•hr/ml,,,>99%,,2007,"Drug Product Label; see also J Clin Oncol 2005, 23(23): 5305","Breast Cancer:  in combination with capecitabine for advanced or metastatic breast cancer whose tumors overexpress HER2 and who have received prior therapy including an anthracycline, a taxane, and trastuzumab",,,,,,,,,,,,
83,747972,Lenalidomide  ,Revlimid ,TNF-alpha Production Inhibitor,259,25,mg,PO,,qd,1.740,1.74E-06,0.000451,451 ng/ml,1.5 h,5.3 h,3820 ng•hr/ml,192 ml/min,57.9 L,30%,,2005,"J Clin Pharmacol 2009, 49(6): 650","Multiple Myeloma,  Myelodysplastic Syndromes,   Mantle Cell Lymphoma",,,,,,,,,,,,
84,719345,Letrozole  ,Femara ,Aromatase Inhibitor,285,2.5,mg,PO,,qd,0.406,4.06E-07,,406 nmol/L,1.5 h,,7872 nmol•hr/L,,1.9 L/kg,60%,,1997,"Eur J Cancer 2008, 44(1): 84",Breast cancer,,,,,,,,,,,,
85,377526,Leuprolide Acetate,Eligard,GnRH agonist,1209,30,mg,SC,,q. 4 months,0.124,1.24E-07,0.00015,150 ng/ml,3.3 h,,,8.34 L/h,27 L,43-49%,,1985,"Drug Product Label; see also J
Pharm Sci 1986; 75(2): 158–160",prostate cancer,Subcutaneous delivery provides sustained release.,,,,,,,,,,,
86,79037,"Lomustine,  CCNU",CeeNU,Alkylating/DNA damage,234,130,mg/m2,PO,,qd,LLOQ,,,n.d.,,,,,,50%,,1976,Cancer Chemother Pharmacol (1985) 14:125-131,"Brain tumors (primary and metastatic),  Hodgkin’s disease","Prodrug: measured as sum of cis+trans 4-OH metabolites, the active metabolites following hepatic first-pass.  High dose (Cancer Chemother Pharmacol (1996) 38: 425—430): 15 mg/kg p.o. gave 2.66 mg/L 4-OH-CCNU cis+trans",,,,,,,,,,,
87,,* cis+trans 4-OH-CCNU,(CeeNU),Alkylating/DNA damage,250,as above,,,,,3.392,3.39E-06,0.000847,0.847 mg/L (cis+trans),2-4 h,1.8 h,3.4 mg•hr/L,,,,,-,Cancer Chemother Pharmacol (1985) 14:125-131,,,,,,,,,,,,,
88,762,Mechlorethamine HCl,"Mustargen, Valchlor, Clearazide, Nitrogen Mustard",Alkylating/DNA damage,193,0.4,mg/kg,IV,,,LLOQ,,,n.d.,,,,,,,,1949,Drug Product Label,"Lymphoma: Hodgkin’s disease (Stages III and IV), lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, polycythemia vera, mycosis fungoides, bronchogenic carcinoma and metastatic carcinoma resulting in effusion.",plasma levels are undetectable within minutes of injection,,,,,,,,,,,
89,26386,Medroxyprogesterone acetate,Provera,Progesterone receptor agonist,387,20,mg,PO,,,0.00261,2.61E-09,0.00000101,1.01 ng/ml,2.65 h,12.1 h,6.95 ng•hr/ml,64110 ml/min,78024 L,90%,,1959,Drug Product Label,not approved for cancer indications; ;  secondary amenorrhea and abnormal uterine bleeding;  endometrial hyperplasia,not approved for cancer indications,,,,,,,,,,,
90,71423,Megestrol acetate,Megace,Progesterone receptor agonist,385,800,mg,PO,suspension,q.d.,1.958,1.96E-06,0.000753,753 ng/ml,5 h,,10476 ng•hr/ml,,,,,1971,"Drug Product Label; see also Cancer Chemother Pharmacol 1995, 36(4): 356","Breast cancer, Endometrial carcinoma,  Cachexia associated with AIDS",Data are following 21 day dosing at high dose,,,,,,,,,,,
91,8806,Melphalan,Alkeran,Alkylating/DNA damage,305,20,mg/m2,IV,,,9.2,9.17E-06,0.0028,2.8 ug/mL,,75 min,,7-9 ml/min/kg,0.5 L/kg,60-90%,,1964,"Drug Product Label; for high dose see: Anticancer Res 1997, 17(1B): 605",Multiple Myeloma; epithelial carcinoma of the ovary (oral tablet),IV Melphalan approved 1992,,,,,,,,,,,
92,755,Mercaptopurine,Purinethol,Nucleoside/Antimetab: purine antagonist,152,75,mg/m2,PO,,qd,0.590,5.90E-07,0.00008968,0.59 umol/L,,1.3 h,1.8 umol•h/L,,,19%,,1953,"Blood 1998, 92(10): 3569","Leukemia: acute lymphatic leukemia (lymphocytic, lymphoblastic) ",high inter-patient variability,,,,,,,,,,,
93,755,mercaptopurine,Purixan,Nucleoside/Antimetab: purine antagonist,152,50,mg,PO,suspension,q.d.,0.625,6.25E-07,0.000095,95 ng/ml,,2 h,136 ng•hr/ml,,,19%,,2014,Drug Product Label,Leukemia: acute lymphoblastic leukemia ,suspension formulation approved 04/28/2014 ,,,,,,,,,,,
94,91485,Metformin,Glucophage,not defined,129,1500,mg,PO,,qd,24.001,2.40012387736141E-005,0.0031,3.10 ug/ml,1.5 h,5.98 h,18.4 ug•hr/ml,1552 ml/min,,negligible,,1959,"Br. J. Clin. Pharmac. 1981, 12: 235-246",not approved for cancer indications;  glycemic control in adults and children with type 2 diabetes mellitus,"not approved for cancer indications: Drug Product Label reports Cmax after 850 mg PO dose is 1.60 ug/ml in healthy adults, representing the average of means from five studies. ",,,,,,,,,,,
95,740,Methotrexate  ,"Abitrexate, Folex,  Mexate, Mexate-AQ,  Oxtrexup, Rasuvo, Trexall",Nucleoside/Antimetab: DHFR inhibitor,454,30,mg,PO,,,1.307,1.31E-06,0.000594,594 ug/L,1.2 h,2.9 h,2466 ug•hr/L,8.4 L/h,,50%,,1954,"J Rheumatol 2004, 31(4): 645","gestational choriocarcinoma, chorioadenoma destruens and hydatidiform mole;  acute lymphocytic leukemia, meningeal leukemia,  . breast cancer, epidermoid cancers of the head and neck, advanced mycosis fungoides (cutaneous T cell lymphoma), and lung cancer, particularly squamous cell and small cell types,  non-Hodgkin's lymphomas,  nonmetastatic osteosarcoma","PK is highly variable, esp. at high doses (>40 mg); Cmax as high as 1000 uM has been reported (Pediatr Pol. 1995 Nov;70(11):929-37)",,,,,,,,,,,
96,45923,Methoxsalen,"8-MOP, Uvadex, Oxsoralen",Alkylating/DNA damage,216,40,mg,PO,,see notes,0.624,6.24E-07,0.000135,178 ng/ml,2.0 h,2.0 h,440 ng•hr/ml,,,90%,,1954,"J Clin Pharmacol 2006, 46(7): 768","Lymphoma: Cutaneous T-cell lymphoma, used in conjunction with extra-corporeal UV irradiation.","Approved 1999 for Cutaneous T-cell lymphoma.  Used in conjunction with extracorporeal UV irradiation with the UVAR instrument:  the white cell layer (buffy coat) is collected by centrifugation; red cells are returned to the patient and the UVADEX Sterile Solution is then injected into the instrument and mixed with the buffy coat. The instrument then irradiates this drug-cell mixture with ultraviolet light (UVA light, 320-400 nm) and returns the treated cells to the patient.",,,,,,,,,,,
97,26980,Mitomycin C,Mutamycin,Alkylating/DNA damage,334,15,mg/m2,IV,30 min,,2.180,2.18E-06,0.000729,729 ng/ml,,0.81 h,691 ng•hr/ml,402 ml/min/m2,24.5 L/m2,24%,,1974,"Cancer 2001, 91(4): 815;   protein binding found in: International Journal of Pharmacology, 2: 293-297 (2006)",Pancreatic cancer: adenocarcinoma of the stomach or pancreas,launched 1956,,,,,,,,,,,
98,38721,"Mitotane,  o,p'-DDD",Lysodren,Adrenocortical steroid inhibitor,320,6000,mg/day,PO,,3-4 divided doses,50.938,5.09E-05,0.0163,16.3 mg/L,,18-159 d,,,,6%,,1970,"J. Clin. Endocrinol. Metab. 2011, 96:1844-1851 ",adrenal cortical carcinoma,Median Cmax of responders is reported.  Plasma exposure above 14 mg/L correlates with clinical response.,,,,,,,,,,,
99,301739,Mitoxantrone HCl,"Novantron, Eslep",Topo II /DNA binding,444,12,mg/m2,IV,30 min,,0.715,7.15E-07,0.000318,318 ng/ml,,17.0 h,298 ng•hr/ml,40.2 L/hr/m2,>1000 L/m2,78%,,1987,Cancer Chemother Pharmacol (2011) 67:431–438,"prostate cancer;   acute nonlymphocytic leukemia (ANLL) in adults,  including myelogenous, promyelocytic, monocytic, and erythroid acute leukemias.",alternate NSC#,,,,,,,,,,,
100,279836,Mitoxantrone HCl,"Novantron, Eslep",Topo II /DNA binding,444,12,mg/m2,IV,30 min,,0.715,7.15E-07,0.000318,318 ng/ml,,17.0 h,298 ng•hr/ml,40.2 L/hr/m2,>1000 L/m2,78%,,1987,Cancer Chemother Pharmacol (2011) 67:431–438,"prostate cancer;   acute nonlymphocytic leukemia (ANLL) in adults,  including myelogenous, promyelocytic, monocytic, and erythroid acute leukemias.",,,,,,,,,,,,
101,755985,Nelarabine  ,Arranon ,Nucleoside/Antimetab: purine antagonist,297,1500,mg/m2,IV,2 h,,16.820,1.68E-05,0.005,5.0 ug/ml,,18 min,4.4 ug•hr/ml,197 L/h/m2,197 L/m2,<25%,,2005,"Drug Product Label; see also J Clin Oncol 1998, 16(11): 3607",Leukemia: T-cell acute lymphoblastic leukemia and T-cell lymphoblastic lymphoma,prodrug of ara-G,,,,,,,,,,,
102,76352,* ara-G,(Arranon),Nucleoside/Antimetab: purine antagonist,283,as above,,,,,110.837,1.11E-04,0.0314,31.4 ug/ml,,3.2 h,162 ug•hr/ml,10.5 L/h/m2,50 L/m2,<25%,,-,Drug Product Label,,,,,,,,,,,,,
103,747599,Nilotinib  ,Tasigna ,kinase inhibitor (Tyrosine): BCR-Abl,530,400,mg,PO,,BID,0.840,8.40E-07,0.000445,445 ng/ml,4 h,13 h,11.9 mg•hr/L,50.5 L/h,,98%,,2007,"J Clin Pharmacol 2010, 50(2): 188;  see also J Clin Pharmacol 2011, 51(1): 75",Leukemia: chronic myeloid leukemia (Ph+ CML) ( Philadelphia chromosome positive ),,,,,,,,,,,,
104,684588,Nilutamide,Nilandron,Androgen Receptor Antagonist,317,150,mg,PO,,qd,2.837,2.84E-06,0.0009,0.9 ug/ml,2.8 h,56 h,39 ug•hr/ml,,,80-84%,4.4 mg/L,1996,"Urology 1991, 37(2, Suppl.): 13","Prostate Cancer, Metastatic",steady state concentration at 150 mg daily is approx 5X higher than single dose,,,,,,,,,,,
104,685403,Octreotide acetate,Sandostatin,Somatostatin Agonist ,1033,0.1,mg,SC,,,0.00384,3.84E-09,0.00000397,3.97 ng/ml,0.64 h,2.25 h,12.4 ng•hr/ml,7-10 L/h,13.6 L,65%,,1988,"J Clin Endocrinol Metab, 2012, 97(7):2362–2369; and Drug Product Label","Carcinoid Tumors,  Vasoactive Intestinal Peptide Tumors (VIPomas)",recommended dose is 50 ug SC twice or three times per day,,,,,,,,,,,
105,753686,Olaparib,Lynparza,PARP inhibitor,434,400,mg,PO,,BID,,,,,,11.9 h,,8.6 L/h,167 L,82%,,2014,Drug Product Label,Ovarian cancer: germline BRCA mutated,Approved 12.19.14,,,,,,,,,,,
106,758253,Omacetaxine mepesuccinate,Synribo,protein translation inhibitor:binds ribosomal A-site,546,1.25,mg/m2,SC,,BID X 14 d,0.04600,4.60E-08,0.0000251,25.1 ng/ml,0.55 h,7 h,136.2 ng•hr/ml,13.5 L/h/m2,127 L,50%,,2012,Cancer Chemother Pharmacol (2013) 71:35–41; and Drug Product Label,Leukemia: chronic myeloid leukemia (CML), approved  26 October 2012.  Cmax given for single dose; Cmax at steady state is 36.2 ng/ml. Mechanism:  protein translation inhibitor. It inhibits protein translation by preventing the initial elongation step of protein synthesis. It interacts with the ribosomal A-site and prevents the correct positioning of amino acid side chains of incoming aminoacyl-tRNAs. Omacetaxine acts only on the initial step of protein translation and does not inhibit protein synthesis from mRNAs that have already commenced translation.,,,,,,,,,,,
107,266046,Oxaliplatin  ,Eloxatin ,Alkylating/DNA damage,397,110,mg/m2,IV,2 h,,4.959,4.96E-06,0.00197,1.97 ug/ml,,1.86 h,4.99 ug•hr/ml,,,>90%,,2002,"Ann Oncol 2003, 14(12): 1776 ","colon cancer,  colorectal cancer","Oxaliplatin shows irreversible plasma protein binding of  90%, so values are reported as ultrafilterable platinum.  Drug Product Label recommends dose of 85 mg/m2, reporting Cmax= 0.814 ug/ml.",,,,,,,,,,,
108,,Palbociclib,Ibrance,,,,,,,,,,,,,,,,,,,2015,,,"Feb. 3, 2015",,,,,,,,,,,
109,125973,Paclitaxel  ,Taxol,Tubulin: microtubule stabilizing,854,175,mg/m2,IV,3 h,,4.275,4.27E-06,0.00365,3650 ng/ml,,20.2 h,15007 ng•hr/ml,12.2 L/hr/m2,227-688 L/m2,89-98%,,1992,"Drug Product Label; for comparison with nab-Paclitaxel formulation, see Clin Cancer Res 2008, 14(13): 4200","Ovarian cancer: breast cancer,  non-small cell lung cancer,  AIDS-related Kaposi’s sarcoma.",,,,,,,,,,,,
110,,nab- Paclitaxel,Abraxane,Tubulin: microtubule stabilizing,854,260,mg/m2,IV,30 min,,21.900,2.19E-05,0.01874,18741 ng/ml,,27 h,20324 ng•hr/ml,15 L/hr/m2,632 L/m2,89-98%,,2005,"Drug Product Label; AUC from Clin Cancer Res 2008, 14(13): 4200","Breast cancer (metastatic),  Non-Small Cell Lung Cancer,  Adenocarcinoma of the Pancreas",nanoparticle albumin-bound Paclitaxel.   09/09/2013:  Approved in combination with gemcitabine for the first-line treatment of patients with metastatic adenocarcinoma of the pancreas.,,,,,,,,,,,
111,737754,Pazopanib HCl  ,Votrient ,kinase inhibitor (Tyrosine):  VEGF,438,800,mg,PO,,,132.800,1.33E-04,0.0581,58.1 ug/ml,2-4 h,30.9 h,1037 ug•hr/ml,,,>99%,,2009,"Drug Product Label; see also Clin Pharmacol Ther. 2010, 88(6):818-23","renal cell carcinoma (RCC),  soft tissue sarcoma (STS)","significant food effects on bioavailability; food (high- or low-fat) increased Cmax, AUC and variability.",,,,,,,,,,,
112,755384,Pemetrexed,Alimta,Nucleoside/Antimetab: DHFR inhibitor,427,500,mg/m2,IV,10 min,,306.490,3.06E-04,0.131,131 ug/ml,,4.4 h,188 ug•hr/ml,93.2 ml/min,20.2 L,81%,,2004,"J Clin Oncol 2006, 24(4): 552","NSCLC: Nonsquamous Non-Small Cell Lung Cancer,  Mesothelioma",,,,,,,,,,,,
113,218321,Pentostatin,Nipent,Nucleoside/Antimetab: Adenosine deaminase inhibitor,268,4,mg/m2,IV,15 min,,1.823,1.82E-06,0.000489,489 ng/ml,,5.3 h,1232 ng•hr/ml,114 ml/min,20 L/m2,4%,,1991,"Cancer Chemother Pharmacol 2002, 50(2): 121-126.  ",Leukemia: hairy cell leukemia,"Calculated mean Cmax from Table 3 (N=6, normal renal function);  measured by Enzyme assay; alternate LC/UV method (abstract) reports 60 uM with 4 mg/m2 (Proc Am Soc Clin Oncol (ASCO) 2002, 21(Part 2): Abst 479)",,,,,,,,,,,
114,761388,Plerixafor,Mozobil,chemokine (CXCR4) antagonist,503,0.24,mg/kg,SC,,,1.842,1.84E-06,0.000926,926 ng/ml,0.5 h,5.1 h,4741 ng•hr/ml,4767 ml/h,33.7 L,58%,,2008,"Biol Blood Marrow Transplant 2009, 15:39-46, ",Lymphoma: non-Hodgkin’s lymphoma (NHL) and multiple myeloma (MM): to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients ,,,,,,,,,,,,
